time,flux
0.0,1.0000
0.5,1.0002
1.0,0.9985
1.5,0.9920
2.0,0.9900
2.5,0.9920
3.0,0.9985
3.5,1.0002
4.0,1.0000
4.5,1.0001
5.0,0.9998
5.5,0.9990
6.0,0.9980
6.5,0.9990
7.0,0.9998
7.5,1.0001
8.0,1.0000
8.5,1.0003
9.0,0.9980
9.5,0.9910
10.0,0.9895
10.5,0.9910
11.0,0.9980
11.5,1.0003
12.0,1.0000
12.5,1.0001
13.0,0.9995
14.0,0.9998
15.0,1.0000
16.0,0.9985
17.0,0.9920
18.0,0.9905
19.0,0.9920
20.0,0.9985
21.0,1.0000
22.0,1.0002
23.0,0.9990
24.0,0.9980
25.0,0.9995
26.0,1.0000
27.0,0.9980
28.0,0.9915
29.0,0.9900
30.0,0.9915
31.0,0.9980
32.0,1.0000
33.0,1.0001
34.0,0.9998
35.0,1.0000
